category,class,comfort,convenience,economic vitality,elder friendliness,livability,mobility,romance,safety
government & public infrastructure,broadcasting,0.28068920969963074,0.31542375683784485,0.3631080389022827,0.2810766398906708,0.2693466246128082,0.3161114454269409,0.18000498414039612,0.2736957371234894
transportation,bus stop,0.4994843304157257,0.5456138849258423,0.4897998869419098,0.4869263172149658,0.48426178097724915,0.563978374004364,0.36436524987220764,0.47449687123298645
food & catering,cafe,0.41300004720687866,0.4323084354400635,0.32395148277282715,0.2998412847518921,0.2911299467086792,0.23074355721473694,0.4103625416755676,0.1657702624797821
food & catering,cake dessert shop,0.4258641004562378,0.4663180708885193,0.3746987581253052,0.32112088799476624,0.3335617780685425,0.2651524543762207,0.45697441697120667,0.20433342456817627
healthcare,centers for disease control and prevention,0.26533740758895874,0.3868175446987152,0.33381062746047974,0.40900203585624695,0.32308197021484375,0.293565958738327,0.08958858251571655,0.4771459698677063
government & public infrastructure,central agency,0.21992233395576477,0.37235528230667114,0.3321220874786377,0.32993781566619873,0.26103365421295166,0.22199730575084686,0.07891732454299927,0.2389272004365921
food & catering,chinese restaurant,0.46755608916282654,0.4864833950996399,0.4116111397743225,0.3593672215938568,0.3922029435634613,0.27976807951927185,0.4760996699333191,0.21796850860118866
social & entertainment,church,0.37294209003448486,0.3531571328639984,0.32636091113090515,0.32284289598464966,0.33874157071113586,0.19004537165164948,0.4003855884075165,0.18374787271022797
social & entertainment,cinema,0.33089005947113037,0.2843460738658905,0.2691151797771454,0.23722271621227264,0.23246435821056366,0.21036279201507568,0.3543626368045807,0.15190868079662323
healthcare,clinic,0.31149041652679443,0.441772997379303,0.2754281461238861,0.43473348021507263,0.30799761414527893,0.18676845729351044,0.15084730088710785,0.2527405917644501
education,colleges and universities,0.34608641266822815,0.35071906447410583,0.323914110660553,0.2833874225616455,0.32261472940444946,0.2509117126464844,0.3252224326133728,0.25093740224838257
life services,communication business hall,0.33840328454971313,0.4714161455631256,0.41413354873657227,0.36474260687828064,0.296215683221817,0.3359062373638153,0.19191642105579376,0.2595226764678955
businesses & manufacturing,company,0.39110442996025085,0.48453840613365173,0.4748685359954834,0.3650672733783722,0.3846360743045807,0.3590034544467926,0.295888215303421,0.324070543050766
retail & shopping,convenience store,0.39742475748062134,0.6620720028877258,0.40217289328575134,0.3206038475036621,0.31573301553726196,0.3210255205631256,0.20993348956108093,0.24367941915988922
social & entertainment,cultural palace,0.4075530469417572,0.34232157468795776,0.34633669257164,0.32544615864753723,0.3400491774082184,0.26059266924858093,0.5087387561798096,0.20141109824180603
social & entertainment,dance hall,0.34363338351249695,0.3110216557979584,0.3066524267196655,0.2669549286365509,0.2754341959953308,0.1826537549495697,0.4027860164642334,0.1453307867050171
retail & shopping,department store,0.3568120002746582,0.4825780391693115,0.3468172252178192,0.269426167011261,0.24739313125610352,0.2492518126964569,0.33643588423728943,0.18769149482250214
residential,dormitory,0.47280263900756836,0.4347926378250122,0.32524770498275757,0.35829558968544006,0.396981805562973,0.25873854756355286,0.3095124661922455,0.22686322033405304
healthcare,emergency center,0.2738352119922638,0.3647460639476776,0.23673640191555023,0.3565237820148468,0.2555759847164154,0.20393794775009155,0.13287542760372162,0.3250753879547119
social & entertainment,exhibition hall,0.3561529517173767,0.30818793177604675,0.3421679437160492,0.2827308177947998,0.29011449217796326,0.2952117323875427,0.38404831290245056,0.22111018002033234
travel & attractions,express inn,0.44276097416877747,0.431486576795578,0.36115607619285583,0.34259435534477234,0.3523314893245697,0.30749592185020447,0.41419413685798645,0.27126845717430115
businesses & manufacturing,factories and mines,0.23315641283988953,0.3487415909767151,0.3639741539955139,0.22944924235343933,0.2838071882724762,0.3480895459651947,0.15103042125701904,0.33756890892982483
social & entertainment,farmhouse,0.48461082577705383,0.4140540063381195,0.35484200716018677,0.35523536801338196,0.4024995267391205,0.23258426785469055,0.49499645829200745,0.16814886033535004
government & public infrastructure,foreign institutions,0.3338569700717926,0.34855714440345764,0.3171465992927551,0.3059624135494232,0.285232812166214,0.2267765998840332,0.3032846748828888,0.22359003126621246
food & catering,foreign restaurant,0.45217591524124146,0.4704112410545349,0.392683207988739,0.3266151547431946,0.3567385673522949,0.26931461691856384,0.5007129907608032,0.20421919226646423
life services,funeral service,0.23618872463703156,0.2798658609390259,0.21756307780742645,0.29926222562789917,0.2111894190311432,0.15504847466945648,0.1749194711446762,0.20171521604061127
social & entertainment,game place,0.36542651057243347,0.3662160336971283,0.3187960982322693,0.2798645496368408,0.2883198857307434,0.18673549592494965,0.31831470131874084,0.14623160660266876
travel & attractions,garden,0.48295971751213074,0.38527557253837585,0.4139861464500427,0.34978508949279785,0.4320373237133026,0.25045961141586304,0.556897759437561,0.21067869663238525
transportation,gas station,0.30404871702194214,0.447899729013443,0.2913505733013153,0.2340734899044037,0.240448996424675,0.3354814350605011,0.16426220536231995,0.307848185300827
healthcare,general hospital,0.3095640540122986,0.36745673418045044,0.24671052396297455,0.4025881588459015,0.28722959756851196,0.1873052716255188,0.17263081669807434,0.320838987827301
government & public infrastructure,governments at all levels,0.38623136281967163,0.5158435106277466,0.5109272599220276,0.5344129800796509,0.4803946316242218,0.45475056767463684,0.14927364885807037,0.4756362736225128
life services,graphic print shop,0.20035837590694427,0.31548625230789185,0.2439039647579193,0.16167351603507996,0.16997306048870087,0.12552410364151,0.1562270224094391,0.09200781583786011
sports,gym,0.3581964671611786,0.36053016781806946,0.33846524357795715,0.339511901140213,0.31673377752304077,0.2531155049800873,0.2933785915374756,0.19666701555252075
retail & shopping,home appliances digital,0.2660636007785797,0.41793766617774963,0.2785400152206421,0.26747483015060425,0.23383493721485138,0.29258283972740173,0.12640386819839478,0.12912940979003906
travel & attractions,homestay,0.5111541152000427,0.4439215064048767,0.35138434171676636,0.3871789574623108,0.4165728986263275,0.23077894747257233,0.4595491290092468,0.16492459177970886
retail & shopping,household building materials,0.3724632263183594,0.47315308451652527,0.36090001463890076,0.30912327766418457,0.34596142172813416,0.21541640162467957,0.17677588760852814,0.2147579938173294
life services,housekeeping,0.2990454137325287,0.3907995820045471,0.2563912272453308,0.4040040969848633,0.28384965658187866,0.185293048620224,0.14899788796901703,0.2024385780096054
residential,housing estate,0.6306831240653992,0.5847994089126587,0.5726543068885803,0.5538272261619568,0.628123939037323,0.39985907077789307,0.4764607548713684,0.39271020889282227
social & entertainment,internet cafe,0.39731577038764954,0.43326953053474426,0.3782074749469757,0.3284474015235901,0.2938416600227356,0.2803718149662018,0.28447577357292175,0.21213030815124512
social & entertainment,karaoke bar,0.3359231650829315,0.33131295442581177,0.3045675754547119,0.26170065999031067,0.25575384497642517,0.213936448097229,0.3795225918292999,0.1626429408788681
education,kindergarten,0.3433472216129303,0.3433181345462799,0.27612361311912537,0.322796106338501,0.32870957255363464,0.171787828207016,0.23871955275535583,0.2776840031147003
life services,laundry,0.2339581400156021,0.3794829249382019,0.2151004523038864,0.2090984731912613,0.19362641870975494,0.16866593062877655,0.12640433013439178,0.12513864040374756
social & entertainment,leisure square,0.5469592809677124,0.5103753805160522,0.4994344413280487,0.4250096380710602,0.47174254059791565,0.3511418104171753,0.5160813331604004,0.2721893787384033
education,library,0.40812715888023376,0.3985721170902252,0.3477306365966797,0.35609012842178345,0.3376021683216095,0.2568381130695343,0.3874260485172272,0.17386019229888916
life services,logistics company,0.2854970395565033,0.5071439146995544,0.3681223392486572,0.33307164907455444,0.3034272789955139,0.36334505677223206,0.13351468741893768,0.3072175681591034
transportation,long distance bus station,0.47584590315818787,0.5278292894363403,0.43252769112586975,0.4359171390533447,0.4289245009422302,0.5050762295722961,0.3535253703594208,0.4080623388290405
life services,lottery point of sale,0.3422500789165497,0.40806686878204346,0.37969544529914856,0.28833991289138794,0.290964275598526,0.3090871572494507,0.30053821206092834,0.24024073779582977
life services,maintenance point,0.23297005891799927,0.38389307260513306,0.2708338499069214,0.27068787813186646,0.24562804400920868,0.23883934319019318,0.12641403079032898,0.2521304786205292
retail & shopping,market,0.4062737822532654,0.5280449986457825,0.4394688904285431,0.28893887996673584,0.3469644784927368,0.32455208897590637,0.3117702901363373,0.20276565849781036
healthcare,medical instruments,0.19644112884998322,0.3112131357192993,0.19489619135856628,0.2693684995174408,0.18275845050811768,0.17605465650558472,0.019902730360627174,0.25891730189323425
healthcare,medical insurance,0.24221208691596985,0.35071510076522827,0.23196586966514587,0.3045142889022827,0.20969921350479126,0.1687098741531372,0.11742652952671051,0.2603680193424225
education,middle school,0.32343417406082153,0.3521835207939148,0.30777353048324585,0.28810593485832214,0.3378133773803711,0.2121034562587738,0.2828427851200104,0.28294694423675537
education,museum,0.28584131598472595,0.22046701610088348,0.2328035533428192,0.2259645164012909,0.2181253731250763,0.19236981868743896,0.39121532440185547,0.11690308153629303
businesses & manufacturing,news publishing,0.2817431390285492,0.3525902032852173,0.3801709711551666,0.3159524202346802,0.26889073848724365,0.30956101417541504,0.2267814427614212,0.3413274586200714
life services,newsstand,0.3708185851573944,0.48228535056114197,0.38951337337493896,0.3426946997642517,0.2830049693584442,0.30398404598236084,0.29883450269699097,0.20025213062763214
healthcare,nursing home,0.4207899272441864,0.4482284188270569,0.3264232575893402,0.5628166198730469,0.38671621680259705,0.2034328281879425,0.2483574002981186,0.24470189213752747
businesses & manufacturing,office building,0.4913245439529419,0.5734608173370361,0.5292564034461975,0.45395052433013916,0.44589725136756897,0.38277119398117065,0.3377194106578827,0.3366992175579071
transportation,ordinary parking space,0.5367302894592285,0.555336594581604,0.4888177514076233,0.4156121015548706,0.4659510850906372,0.4996773302555084,0.33935683965682983,0.41866928339004517
education,parenting education,0.2266964316368103,0.28237977623939514,0.18899409472942352,0.3176276981830597,0.23636847734451294,0.1550208032131195,0.16551479697227478,0.20851129293441772
transportation,parking lot,0.38322025537490845,0.4393463432788849,0.3725615441799164,0.2717856466770172,0.32847362756729126,0.3647485375404358,0.3210811913013458,0.30634698271751404
government & public infrastructure,partisan groups,0.2664192318916321,0.3212564289569855,0.30751198530197144,0.39068013429641724,0.30505943298339844,0.25307580828666687,0.12431959062814713,0.29716387391090393
life services,pet service,0.28424981236457825,0.33728787302970886,0.23337337374687195,0.2921626567840576,0.23006214201450348,0.1841530054807663,0.20950865745544434,0.1573529988527298
healthcare,pharmacy,0.3824921250343323,0.5259871482849121,0.3687286674976349,0.4707010090351105,0.35696572065353394,0.2515554428100586,0.18308627605438232,0.3045363426208496
life services,photo studio,0.22340485453605652,0.25577017664909363,0.19754169881343842,0.18359632790088654,0.16924859583377838,0.12510906159877777,0.28257548809051514,0.12163544446229935
healthcare,physical examination institutions,0.2336859256029129,0.3364028334617615,0.20444811880588531,0.3411499857902527,0.23229755461215973,0.12625053524971008,0.08598268032073975,0.25691843032836914
government & public infrastructure,political education institution,0.20724846422672272,0.257118284702301,0.26524579524993896,0.29772692918777466,0.26381993293762207,0.1920333355665207,0.14529800415039062,0.2649628520011902
life services,post office,0.3112330734729767,0.43052899837493896,0.3059970438480377,0.30568206310272217,0.26519930362701416,0.2693449854850769,0.21906661987304688,0.2391173392534256
education,primary school,0.3308127224445343,0.3899136781692505,0.32901960611343384,0.3435957133769989,0.3639175295829773,0.21541929244995117,0.24076443910598755,0.3448604345321655
government & public infrastructure,public procuratorate,0.23021528124809265,0.30338254570961,0.2937077581882477,0.31261104345321655,0.2533677816390991,0.17600791156291962,0.05201352387666702,0.35163840651512146
life services,public toilet,0.4769183099269867,0.450101763010025,0.3581123948097229,0.374935507774353,0.39528682827949524,0.29346686601638794,0.30118706822395325,0.29696124792099
businesses & manufacturing,real estate agency,0.30328381061553955,0.4025755822658539,0.3650391101837158,0.28573107719421387,0.3111974895000458,0.20000016689300537,0.2308507114648819,0.1731148660182953
education,research institutions,0.3087414503097534,0.3614371120929718,0.38609060645103455,0.3146793842315674,0.3290356397628784,0.2852731943130493,0.16848425567150116,0.30203378200531006
residential,residents committee,0.4452516436576843,0.4825117290019989,0.45279181003570557,0.6050023436546326,0.5426636338233948,0.32709014415740967,0.15954260528087616,0.3963313400745392
travel & attractions,resort,0.3534433841705322,0.3002621829509735,0.2746060788631439,0.23627154529094696,0.2741737961769104,0.18065403401851654,0.4374731779098511,0.16409407556056976
travel & attractions,scenic area,0.4760027527809143,0.4075932204723358,0.4115419387817383,0.3572219908237457,0.4310159683227539,0.3281586170196533,0.5419227480888367,0.2903556525707245
education,science museum,0.2606878876686096,0.21506229043006897,0.2283974289894104,0.20958426594734192,0.2164052277803421,0.2209472954273224,0.2885940670967102,0.1531374156475067
transportation,service area,0.5237780809402466,0.6119808554649353,0.5107720494270325,0.4597699046134949,0.46185049414634705,0.48529568314552307,0.35890093445777893,0.4149521291255951
retail & shopping,shopping center,0.50368332862854,0.6115949153900146,0.5219757556915283,0.39421898126602173,0.43343386054039,0.39830076694488525,0.4788355529308319,0.2848557233810425
food & catering,snack fast food restaurant,0.28649234771728516,0.44345325231552124,0.27062878012657166,0.20057286322116852,0.23226793110370636,0.20587415993213654,0.2287459522485733,0.16080160439014435
government & public infrastructure,social groups,0.3113774061203003,0.3095189332962036,0.31064555048942566,0.3655434846878052,0.28693652153015137,0.24734337627887726,0.2916114926338196,0.24132588505744934
education,special education school,0.28816697001457214,0.33321499824523926,0.25659897923469543,0.35253405570983887,0.28859570622444153,0.17624413967132568,0.16176877915859222,0.2820534408092499
healthcare,specialist hospital,0.20946191251277924,0.26006731390953064,0.13794052600860596,0.27366945147514343,0.17951056361198425,0.0883859172463417,0.11146803945302963,0.20735296607017517
sports,stadium,0.38124656677246094,0.3248131275177002,0.32991325855255127,0.2833743989467621,0.30341121554374695,0.2259995937347412,0.3347427546977997,0.19170624017715454
travel & attractions,star hotels,0.4352360963821411,0.4094483554363251,0.33908510208129883,0.2762005031108856,0.31243255734443665,0.23367929458618164,0.47154802083969116,0.17070117592811584
retail & shopping,store,0.38450732827186584,0.5672608017921448,0.3778189420700073,0.29242196679115295,0.3092814087867737,0.25281453132629395,0.30789509415626526,0.19382718205451965
education,study abroad agency,0.18783940374851227,0.21647293865680695,0.1989193856716156,0.19731172919273376,0.1628112494945526,0.14414681494235992,0.16870154440402985,0.16828608512878418
transportation,subway station,0.5091558694839478,0.5257406830787659,0.4617488384246826,0.39616110920906067,0.4457087516784668,0.5257840156555176,0.41355669498443604,0.3745274245738983
retail & shopping,supermarket,0.33267417550086975,0.5433207750320435,0.3427225947380066,0.2565079927444458,0.27204155921936035,0.22297677397727966,0.22566300630569458,0.19287671148777008
food & catering,tea house,0.33297067880630493,0.31129464507102966,0.21697460114955902,0.22748352587223053,0.22872044146060944,0.11401214450597763,0.3873673975467682,0.08811735361814499
travel & attractions,temple,0.3838791251182556,0.3248126208782196,0.33074429631233215,0.3020963966846466,0.3335593640804291,0.23440319299697876,0.4328462779521942,0.20893488824367523
social & entertainment,theater,0.33956053853034973,0.2670899033546448,0.2989908456802368,0.23673106729984283,0.24178051948547363,0.21691814064979553,0.430244117975235,0.179859921336174
travel & attractions,ticket office,0.2928709089756012,0.3591277599334717,0.33183807134628296,0.2628675401210785,0.23274604976177216,0.35615596175193787,0.26795175671577454,0.2639843225479126
transportation,train station,0.4716796278953552,0.4761132299900055,0.4101402461528778,0.3834928870201111,0.40357285737991333,0.48207908868789673,0.40603700280189514,0.3690674901008606
education,training institutions,0.2588113248348236,0.33259153366088867,0.2802404463291168,0.28418397903442383,0.24407920241355896,0.20997923612594604,0.20662610232830048,0.2638470232486725
government & public infrastructure,utilities,0.28458133339881897,0.46355801820755005,0.3595393896102905,0.3354641795158386,0.29812684655189514,0.34190288186073303,0.08944427222013474,0.2110944390296936
government & public infrastructure,welfare agency,0.29115960001945496,0.38935157656669617,0.2723381817340851,0.5186404585838318,0.3319855034351349,0.19277389347553253,0.08197148144245148,0.2624129056930542
businesses & manufacturing,zone,0.46929341554641724,0.5042682886123657,0.5389086008071899,0.4060530662536621,0.4576069712638855,0.3903464674949646,0.36588212847709656,0.3312966525554657
social & entertainment,zoo,0.40850135684013367,0.31329548358917236,0.29898175597190857,0.2897762656211853,0.32502537965774536,0.2385312169790268,0.411792129278183,0.20727238059043884
businesses & manufacturing,-,0.3848663082856691,0.4771484766609917,0.4613556207817566,0.36127780702522044,0.3789059180918627,0.3416127076497305,0.287086817228607,0.3053781250413652
education,-,0.2996356526635728,0.3435187910218297,0.30019323205940124,0.3022685799674185,0.29365958431761896,0.2140307650874918,0.23042941765467478,0.2722150787947054
food & catering,-,0.3951191107987336,0.4623638948745057,0.35019752747871424,0.2934898211029655,0.3204840598869128,0.24678635872929638,0.38717302368498835,0.19102477580059032
government & public infrastructure,-,0.31896010991690227,0.4343528976444297,0.3681249519133627,0.4151690021477361,0.3409706524976096,0.2847460195477189,0.12388137183394919,0.3683904365178561
healthcare,-,0.33511992330295204,0.4621981143876267,0.31176688767411354,0.432752452431091,0.3176937078257288,0.21671372209876905,0.15784960987565702,0.28586454299796554
life services,-,0.3329631760391588,0.4146458072259105,0.3149161733120466,0.3123825704672971,0.2935269588721482,0.26042134157832086,0.21444981197958282,0.23879561350304518
residential,-,0.5885852603921182,0.5590664172609068,0.5396413778993874,0.5559028469763331,0.6024013460920908,0.3801792225482606,0.4086179324933665,0.3867903886337237
retail & shopping,-,0.37793187223531116,0.5734729781010881,0.37882343903990495,0.29972550367838197,0.3118161366312325,0.2720455805921022,0.2434270990450384,0.21131114215818164
social & entertainment,-,0.4229929886894257,0.3892500337009384,0.35213829487601234,0.34382227938684196,0.33556029559076944,0.24547628163330115,0.4126394198055217,0.19567109812634956
sports,-,0.3694216437184452,0.34313631311739795,0.33430050921913934,0.3121734781297986,0.3102458181243968,0.23991031730744078,0.3135225406938146,0.19425116571288842
transportation,-,0.4726719464842254,0.521965661647799,0.4615339902723257,0.4362879677902256,0.4470519365809815,0.5181294735033891,0.3527720965388567,0.4347030794106999
travel & attractions,-,0.42258558364508525,0.38592642288094964,0.35877360663995395,0.320087437686487,0.34840396588179734,0.2984367465520008,0.4608609413533653,0.23437251002715526
